column,do no create,name,type,module,options,label,parentenum,id_name,related module
"   id varchar(18) NOT NULL,",,sf_id_c,,a,,,,,
"   ownerid varchar(18) NOT NULL,",X,,,,,,,,
"   isdeleted bool NOT NULL,",X,,,,,,,,
"   name varchar(80),",X,,,,,Agreement Name,,,
"   recordtypeid varchar(18),", ,recordtypeid_c,enum,a,agreement_rectype_list,Record Type,,,
"   createddate date NOT NULL,",X,,,,,,,,
"   createdbyid varchar(18) NOT NULL,",X,,,,,,,,
"   lastmodifieddate date NOT NULL,",X,,,,,,,,
"   lastmodifiedbyid varchar(18) NOT NULL,",X,,,,,,,,
"   systemmodstamp date NOT NULL,",X,,,,,,,,
"   lastactivitydate date,",,lastactivitydate_c,,a,,,,,
"   lastvieweddate date,",X,,,,,,,,
"   lastreferenceddate date,",X,,,,,,,,
"   apttus__account_search_field__c varchar(255),",,,,a,,Account Search Field,,,
"   apttus__account__c varchar(18),",,,,a,,Apttus Account,,,
"   apttus__activated_by__c varchar(36),",,Oneapttus_activated_by,id,a,,,,,
,,apttus_activated_by_name_c,relate,a,,Activated By,,Oneapttus_activated_by,Users
"   apttus__activated_date__c date,",,,,a,,Activated Date,,,
"   apttus__agreement_category__c varchar(255),",,,enum,a,contract_category_list,Agreement Category,,,
"   apttus__agreement_number__c varchar(8),",,,,a,,Agreement Number,,,
"   apttus__amendment_effective_date__c date,",,,,a,,Amendment Effective Date,,,
"   apttus__auto_renew_consent__c bool NOT NULL,",,,,a,,Auto Renew Consent,,,
"   apttus__auto_renew_term_months__c numeric(19),",,,,a,,Auto Renew Term Months,,,
"   apttus__auto_renewal_terms__c text,",,,,a,,Auto Renewal Terms,,,
"   apttus__auto_renewal__c bool NOT NULL,",,,,a,,Auto Renewal,,,
"   apttus__business_hours__c varchar(18),",,,,a,,Business Hours,,,
"   apttus__company_signed_by__c varchar(36),",,Oneapttus_company_signed_by,id,a,,,,,,
,,apttus_company_signed_by_name_c,relate,a,,Company Signed By,,Oneapttus_company_signed_by,Users
"   apttus__company_signed_date__c date,",,,,a,,Company Signed Date,,,
"   apttus__company_signed_title__c varchar(80),",,,,a,,Company Signed Title,,,
"   apttus__contract_duration_days__c numeric(19),",,,,a,,Contract Duration Days,,,
"   apttus__contract_end_date__c date,",,,,a,,Contract End Date,,,
"   apttus__contract_number__c varchar(30) NOT NULL,",,,,a,,Contract Number,,,
"   apttus__contract_start_date__c date,",,,,a,,Contract Start Date,,,
"   apttus__contracted_days__c numeric(19),",,,,a,,Contracted Days,,,
"   apttus__description__c text,",,,,a,,Apttus Description,,,
"   apttus__executed_copy_mailed_out_date__c date,",,,,a,,Executed Copy Mailed Out Date,,,
"   apttus__ff_agreement_number__c varchar(1300),",,,,a,,FF Agreement Number,,,
"   apttus__ff_amend__c varchar(1300),",,,,a,,Amend,,,
"   apttus__ff_cancel_request__c varchar(1300),",,,,a,,Cancel Request,,,
"   apttus__ff_execute__c varchar(1300),",,,,a,,Execute,,,
"   apttus__ff_expire__c varchar(1300),",,,,a,,Expire,,,
"   apttus__ff_generate_protected_agreement__c varchar(1300),",,,,a,,Generate Protected Agreement,,,
"   apttus__ff_generate_supporting_document__c varchar(1300),",,,,a,,Generate Supporting Document,,,
"   apttus__ff_generate_unprotected_agreement__c varchar(1300),",,,,a,,Generate Unprotected Agreement,,,
"   apttus__ff_regenerate_agreement__c varchar(1300),",,,,a,,Regenerate Agreement,,,
"   apttus__ff_renew__c varchar(1300),",,,,a,,Renew,,,
"   apttus__ff_return_to_requestor__c varchar(1300),",,,,a,,Return to Requestor,,,
"   apttus__ff_send_to_other_party_for_review__c varchar(1300),",,,,a,,Send to Other Party for Review,,,
"   apttus__ff_send_to_other_party_for_signatures__c varchar(1300),",,,,a,,Send to Other Party for Signatures,,,
"   apttus__ff_send_to_third_party__c varchar(1300),",,,,a,,Send to Third Party,,,
"   apttus__ff_submit_for_changes__c varchar(1300),",,,,a,,Submit for Changes,,,
"   apttus__ff_submit_request__c varchar(1300),",,,,a,,Submit Request,,,
"   apttus__ff_terminate__c varchar(1300),",,,,a,,Terminate,,,
"   apttus__ff_view_draft_contract__c varchar(1300),",,,,a,,View Draft Contract,,,
"   apttus__ff_view_final_contract__c varchar(1300),",,,,a,,View Final Contract,,,
"   apttus__import_offline_document__c varchar(1300),",,,,a,,Import Offline Document,,,
"   apttus__initiatetermination__c varchar(1300),",,,,a,,Initiate Termination,,,
"   apttus__initiation_type__c varchar(255),",,,enum,a,contract_initiation_type_list,Initiation Type,,,
"   apttus__internal_renewal_notification_days__c numeric(19),",,,,a,,Internal Renewal Notification Days,,,
"   apttus__internal_renewal_start_date__c date,",,,,a,,Internal Renewal Start Date,,,
"   apttus__is_system_update__c bool NOT NULL,",,,,a,,Is System Update,,,
"   apttus__non_standard_legal_language__c bool NOT NULL,",,,,a,,Non Standard Legal Language,,,
"   apttus__other_party_returned_date__c date,",,,,a,,Other Party Returned Date,,,
"   apttus__other_party_sent_date__c date,",,,,a,,Other Party Sent Date,,,
"   apttus__other_party_signed_by_unlisted__c varchar(255),",,,,a,,Other Party Signed By Unlisted,,,
"   apttus__other_party_signed_by__c varchar(36),",,Oneapttus_other_party_signed_by,id,a,,,,,
,,apttus_other_party_signed_by_name_c,relate,a,,Other Party Signed By,,Oneapttus_other_party_signed_by,Contacts
"   apttus__other_party_signed_date__c date,",,,,a,,Other Party Signed Date,,,
"   apttus__other_party_signed_title__c varchar(80),",,,,a,,Other Party Signed Title,,,
"   apttus__outstanding_days__c numeric(19),",,,,a,,Outstanding Days,,,
"   apttus__owner_expiration_notice__c varchar(255),",,,,a,,Owner Expiration Notice,,,
"   apttus__parent_agreement__c varchar(36),",,Oneapttus_parent_agreement_c,id,a,,,,,
,,apttus_parent_agreement_name_c,relate,a,,Parent Agreement,,Oneapttus_parent_agreement_c,AOS_Contracts
"   apttus__perpetual__c bool NOT NULL,",,,,a,,Perpetual,,,
"   apttus__primary_contact__c varchar(18),",,,,a,,Primary Contact,,,
"   apttus__related_opportunity__c varchar(18),",,,,a,,Related Opportunity,,,
"   apttus__remaining_contracted_days__c numeric(19),",,,,a,,Remaining Contracted Days,,,
"   apttus__renewal_notice_date__c date,",,,,a,,Renewal Notice Date,,,
"   apttus__renewal_notice_days__c numeric(19),",,,,a,,Renewal Notice Days,,,
"   apttus__request_date__c date,",,,,a,,Request Date,,,
"   apttus__requestor__c varchar(36),",,Oneapttus_requestor_c,id,a,,,,,
,,apttus_requestor_name_c,relate,a,,Requestor,,Oneapttus_requestor_c,Users
"   apttus__retentiondate__c date,",,,,a,,Retention Date,,,
"   apttus__retentionpolicyid__c varchar(18),",,,,a,,Retention Policy ID,,,
"   apttus__risk_rating__c numeric(19),",,,,a,,Risk Rating,,,
"   apttus__source__c varchar(255),",,,enum,a,contract_source_list,Source,,,
"   apttus__special_terms__c text,",,,,a,,Special Terms,,,
"   apttus__status_category__c varchar(255),",,,enum,a,contract_status_category_list,Status Category,,,
"   apttus__status__c varchar(255),",,,dynamicenum,a,contract_status_list,Status,apttus_status_category_c,,
"   apttus__submit_request_mode__c varchar(255),",,,,a,,Submit Request Mode,,,
"   apttus__subtype__c varchar(255),",,,,a,,Subtype,,,
"   apttus__term_months__c numeric(19),",,,,a,,Term Months,,,
"   apttus__terminationcomments__c varchar(1024),",,,,a,,Termination Comments,,,
"   apttus__termination_date__c date",,,,a,,Termination Date,,,
"   apttus__termination_notice_days__c numeric(19),",,,,a,,Termination Notice Days,,,
"   apttus__termination_notice_issue_date__c date,",,,,a,,Termination Notice Issue Date,,,
"   apttus__total_contract_value__c numeric(19),",,,,a,,Tot Contract Value,,,
"   apttus__version_number__c numeric(19),",,,,a,,Version Number,,,
"   apttus__version__c numeric(19),",,,,a,,Version,,,
"   apttus__workflow_trigger_created_from_clone__c bool NOT NULL,",,,,a,,Workflow Trigger Created from Clone,,,
"   apttus__workflow_trigger_viewed_final__c bool NOT NULL,",,,,a,,Workflow Trigger Viewed Final,,,
"   activate__c varchar(1300),",,,,a,,,,,
"   agreement_chevron__c varchar(1300),",,,,a,,,,,
"   amendment_number__c numeric(19),",,,,a,,,,,
"   apts_request_date__c date,",,,,a,,APTS Request Date,,,
"   arbitration__c bool NOT NULL,",,,,a,,,,,
"   assignment_permitted__c varchar(255),",,,enum,a,contract_assignment_permitted_list,,,,
"   probability__c varchar(1300),",,,,a,,,,,
"   baa_template_source__c varchar(255),",,,enum,a,baa_source_list,BAA Template Source,,,
"   cac_services__c bool NOT NULL,",,,,s,,CAC Services,,,
"   cia_annual_increase__c varchar(255),",,,enum,p,pricing_increase_list,CIA Annual Increase,,,
"   cia_auto_renew__c bool NOT NULL,",,,,p,,CIA Auto Renew,,,
"   cia_effective_date__c date,",,,,p,,CIA Effective Date,,,
"   cia_expiration_date__c date,",,,,p,,CIA Expiration Date,,,
"   cia_renewal_start_date__c date,",,,,p,,CIA Renewal Start Date,,,
"   cia_renewal_term_months__c numeric(19),",,,,p,,CIA Renewal Term Months,,,
"   cia_term_months__c numeric(19),",,,,p,,CIA Term Months,,,
"   cia_termination_prior_to_renewal_days__c varchar(255),",,,enum,p,the30_60_90_list,CIA Termination Prior to Renewal Days,,,
"   cia_termination_prior_to_renewal__c varchar(255),",,,,p,,CIA Termination Prior to Renewal,,,
"   chevron__c varchar(1300),",,,,a,,,,,
"   client_agreement_number__c varchar(20),",,,,a,,,,,
"   client_responsibl_for_collection_cost__c bool NOT NULL,",,,,a,,,,,
"   codingt_renewal_notice_days__c numeric(19),",,,,s,,,,,
"   coding_attachment_number__c numeric(19),",,,,s,,Coding Doc Number,,,
"   coding_auto_renew__c bool NOT NULL,",,,,s,,,,,
"   coding_billing__c varchar(255),",,,enum,s,tos_billing_list,,,,
"   coding_commitment__c varchar(255),",,,enum,s,tos_commitment_list,,,,
"   coding_effective_date__c date,",,,,s,,,,,
"   coding_estimated_billing__c bool NOT NULL,",,,,s,,,,,
"   coding_evergreen__c bool NOT NULL,",,,,s,,,,,
"   coding_expiration_date__c date,",,,,s,,,,,
"   coding_implementation_training_fees__c varchar(255),",,,enum,s,impl_and_training_fees_list,,,,
"   coding_pricing_category_rate__c numeric(19),",,,,s,,,,,
"   coding_pricing_increase__c varchar(255),",,,enum,s,pricing_increase_list,,,,
"   coding_pricing__c text,",,,,s,,,,,
"   coding_renewal_consent__c bool NOT NULL,",,,,s,,,,,
"   coding_renewal_notification_period_dd__c numeric(19),",,,,s,,Coding Renewal Notification Period DD,,,
"   coding_renewal_start_date__c date,",,,,s,,,,,
"   coding_renewal_term_months__c numeric(19),",,,,s,,,,,
"   coding_renewal_terms__c text,",,,,s,,,,,
"   coding_revenue__c numeric(19),",,,,s,,,,,
"   coding_sow_date__c date,",,,,s,,Coding SOW Date,,,
"   coding_sow_version__c numeric(19),",,,,s,,Coding SOW Version,,,
"   coding_term_months__c numeric(19),",,,,s,,,,,
"   coding_termination_prior_to_renewal_days__c varchar(255),",,,enum,s,the30_60_90_list,,,,
