column,do no create,
"id varchar(18) NOT NULL,",,sf_id_c
"   isdeleted bool NOT NULL,",X,
"   masterrecordid varchar(18),",X,NU
"   lastname varchar(80) NOT NULL,",X,
"   firstname varchar(40),",X,
"   salutation varchar(40),",X,
"   name varchar(121) NOT NULL,",X,
"   title varchar(128),",X,
"   company varchar(255) NOT NULL,",,company_c
"   street varchar(255),",X,
"   city varchar(40),",X,
"   state varchar(80),",X,
"   postalcode varchar(20),",X,
"   country varchar(80),",X,
"   latitude real,",X,
"   longitude real,",X,
"   address varchar(255),",X,
"   phone varchar(40),",X,Phone work
"   mobilephone varchar(40),",X,
"   fax varchar(40),",X,
"   email varchar(80),",X,
"   website varchar(255),",X,
"   photourl varchar(255),",X,
"   description text,",X,
"   leadsource varchar(40),",X,
"   status varchar(40) NOT NULL,",X,
"   industry varchar(40),",,industry_c
"   rating varchar(40),",,rating_c
"   annualrevenue real,",,annual_revenue_c
"   numberofemployees int,",,numberofemployees_c
"   ownerid varchar(18) NOT NULL,",X,
"   hasoptedoutofemail bool NOT NULL,",X,
"   isconverted bool NOT NULL,",X,
"   converteddate timestamp,",,converteddate_c
"   convertedaccountid varchar(18),",X,relationship
"   convertedcontactid varchar(18),",X,relationship
"   convertedopportunityid varchar(18),",X,relationship
"   isunreadbyowner bool NOT NULL,",X,
"   createddate timestamp NOT NULL,",X,
"   createdbyid varchar(18) NOT NULL,",X,
"   lastmodifieddate timestamp NOT NULL,",X,
"   lastmodifiedbyid varchar(18) NOT NULL,",X,
"   systemmodstamp timestamp NOT NULL,",X,
"   lastactivitydate timestamp,",,lastactivitydate_c
"   donotcall bool NOT NULL,",X,
"   lastvieweddate timestamp,",X,2
"   lastreferenceddate timestamp,",X,2
"   jigsaw varchar(20),",X,
"   jigsawcontactid varchar(20),",X,
"   emailbouncedreason varchar(255),",X,
"   emailbounceddate timestamp,",X,
"   eloqua_lead_rating__c varchar(50),",,
"   lead_source_most_recent__c varchar(50),",,
"   crm__c varchar(60),",,
"   target_decision_date__c timestamp,",,
"   product_interest__c varchar(255),",,
"   lead_rating__c varchar(255),",,
"   latitude__c real,",,
"   longitude__c real,",,
"   geostatus__c varchar(255),",,
"   primary_campaign__c varchar(50),",,
"   primary_business_focus__c varchar(100),",,
"   number_of_healthcare_customers__c varchar(30),",,
"   annual_revenue__c varchar(30),",,
"   years_in_business__c varchar(30),",,
"   geographic_region_served__c varchar(30),",,
"   partnership_strategy__c varchar(255),",,
"   current_client_opps__c varchar(255),",,
"   ctct21__opted_out_by_ctct__c bool NOT NULL,",,
"   date_requested__c varchar(50),",,
"   time_requested__c varchar(255),",,
"   current_ehr__c varchar(100),",,
"   currently_using_speech_rec__c varchar(10),",,
"   lead_group__c varchar(100),",,
"   number_of_doctors__c real,",,
"   timeframe_for_purchase__c varchar(100),",,
"   directions__c varchar(150),",,
"   channel__c varchar(100),",,
"   preferred_follow_up__c varchar(100),",,
"   ehr_vendor__c varchar(100),",,
"   bucket__c varchar(100),",,
"   swipe_date__c timestamp,",,
"   leads_to_delete__c bool NOT NULL,",,
"   sem_ls__c varchar(100),",,
"   gpo__c varchar(100),",,
"   vip_account__c bool NOT NULL,",,
   zba_ss__c varchar(3),,
